team,xG,xGA,matches,confed
Afghanistan,0.20324307167006073,1.2099666677925538,22.0,AFC
Albania,1.328570515974593,0.7301505174429505,42.0,UEFA
Algeria,1.619038817383713,0.7795063418232264,58.0,CAF
Andorra,0.451003670172633,0.752711850314094,39.0,UEFA
Angola,1.0435380601300952,0.9994586940484953,44.0,CAF
Anguilla,0.037464149475070506,2.406149517654807,21.0,CONCACAF
Antigua and Barbuda,0.2373978236150593,2.074065921875385,21.0,CONCACAF
Argentina,2.466130678704931,0.43654840016628965,57.0,CONMEBOL
Armenia,1.2216113828102293,1.1703293464660958,37.0,UEFA
Aruba,0.2058487249878008,1.7604480687933541,21.0,CONCACAF
Australia,1.5359431775383763,0.715365011029244,48.0,AFC
Austria,1.9146817500473146,0.8136207081146115,45.0,UEFA
Azerbaijan,1.0727203383216513,1.1891832194749496,37.0,UEFA
Bahamas,0.21936456403151586,2.179176349368328,19.0,CONCACAF
Bahrain,0.868803338097582,1.0870815400248086,50.0,AFC
Bangladesh,0.12748079794437123,1.127082319185032,34.0,AFC
Barbados,0.2913200370029724,2.3271332300695846,26.0,CONCACAF
Belarus,1.0686842475285174,0.9148548481669513,37.0,UEFA
Belgium,2.160119148424173,0.6845596878739513,50.0,UEFA
Belize,0.20936531408281872,1.9907767596421115,26.0,CONCACAF
Benin,1.1769067464798755,1.0096444287275117,36.0,CAF
Bermuda,0.670307037548872,1.8135721850065976,30.0,CONCACAF
Bhutan,0.040606408749859504,2.651733031246976,19.0,AFC
Bolivia,1.3900303839142043,0.803188510891251,43.0,CONMEBOL
Bonaire,0.06862386077859721,1.2631593587169432,19.0,CONCACAF
Bosnia and Herzegovina,1.5782347383027118,0.9520849453240492,39.0,UEFA
Botswana,0.889012060215096,1.056991965175746,32.0,CAF
Brazil,2.421623022696741,0.6025587996116498,49.0,CONMEBOL
British Virgin Islands,0.1054131189148132,1.3259492148726113,23.0,CONCACAF
Brunei,0.043704141006187906,2.587662277136312,26.0,AFC
Bulgaria,1.2305316054980022,1.0318236277715631,38.0,UEFA
Burkina Faso,1.3784187513823893,0.9869929444654844,48.0,CAF
Burundi,0.578208542919565,1.2421451918957476,25.0,CAF
Cambodia,0.14385647089665843,1.198102368093676,29.0,AFC
