date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,source,source_match_id,score_duration,source_status,prior_home_match,prior_away_match,eligible,exclusion_reason
2026-02-25,Mexico,Iceland,4.0,0.0,Friendly,Querétaro,Mexico,False,martj42,,SOURCE_FULL_TIME,FINISHED,True,True,True,
2026-03-15,Bolivia,Trinidad and Tobago,3.0,0.0,Friendly,Santa Cruz,Bolivia,False,martj42,,SOURCE_FULL_TIME,FINISHED,True,True,True,
2026-03-25,Bermuda,DR Congo,0.0,2.0,Friendly,Zapopan,Mexico,True,martj42,,SOURCE_FULL_TIME,FINISHED,True,True,True,
2026-03-25,Equatorial Guinea,Kyrgyzstan,1.0,0.0,Friendly,Antalya,Turkey,True,martj42,,SOURCE_FULL_TIME,FINISHED,True,True,True,
2026-03-25,Kazakhstan,Namibia,2.0,0.0,FIFA Series,Astana,Kazakhstan,False,martj42,,SOURCE_FULL_TIME,FINISHED,True,True,True,
2026-03-25,United States Virgin Islands,American Samoa,5.0,2.0,FIFA Series,Bayamón,Puerto Rico,True,martj42,,SOURCE_FULL_TIME,FINISHED,True,False,False,away_missing_prior
2026-03-25,Puerto Rico,Guam,4.0,0.0,FIFA Series,Bayamón,Puerto Rico,False,martj42,,SOURCE_FULL_TIME,FINISHED,True,False,False,away_missing_prior
2026-03-26,Brazil,France,1.0,2.0,Friendly,Foxborough,United States,True,martj42,,SOURCE_FULL_TIME,FINISHED,True,True,True,
2026-03-26,Colombia,Croatia,1.0,2.0,Friendly,Orlando,United States,True,martj42,,SOURCE_FULL_TIME,FINISHED,True,True,True,
2026-03-26,Cyprus,Belarus,0.0,1.0,Friendly,Nicosia,Cyprus,False,martj42,,SOURCE_FULL_TIME,FINISHED,True,True,True,
2026-03-26,Georgia,Israel,2.0,2.0,Friendly,Tbilisi,Georgia,False,martj42,,SOURCE_FULL_TIME,FINISHED,True,True,True,
2026-03-26,Moldova,Lithuania,0.0,2.0,Friendly,Chișinău,Moldova,False,martj42,,SOURCE_FULL_TIME,FINISHED,True,True,True,
2026-03-26,Vietnam,Bangladesh,3.0,0.0,Friendly,Hanoi,Vietnam,False,martj42,,SOURCE_FULL_TIME,FINISHED,True,True,True,
2026-03-26,New Caledonia,Jamaica,0.0,1.0,FIFA World Cup qualification,Zapopan,Mexico,True,martj42,,SOURCE_FULL_TIME,FINISHED,True,True,True,
2026-03-26,Bolivia,Suriname,2.0,1.0,FIFA World Cup qualification,Guadalupe,Mexico,True,martj42,,SOURCE_FULL_TIME,FINISHED,True,True,True,
2026-03-26,Italy,Northern Ireland,2.0,0.0,FIFA World Cup qualification,Bergamo,Italy,False,martj42,,SOURCE_FULL_TIME,FINISHED,True,True,True,
2026-03-26,Wales,Bosnia and Herzegovina,1.0,1.0,FIFA World Cup qualification,Cardiff,Wales,False,martj42,,SOURCE_FULL_TIME,FINISHED,True,True,True,
2026-03-26,Poland,Albania,2.0,1.0,FIFA World Cup qualification,Warsaw,Poland,False,martj42,,SOURCE_FULL_TIME,FINISHED,True,True,True,
2026-03-26,Ukraine,Sweden,1.0,3.0,FIFA World Cup qualification,Valencia,Spain,True,martj42,,SOURCE_FULL_TIME,FINISHED,True,True,True,
2026-03-26,Slovakia,Kosovo,3.0,4.0,FIFA World Cup qualification,Bratislava,Slovakia,False,martj42,,SOURCE_FULL_TIME,FINISHED,True,True,True,
