team,name,confed,prior_matches,new_matches,total_matches,prior_weight,new_weight,prior_off,prior_xG_scaled,new_xG,pooled_xG_pre_normalization,xG,prior_def,prior_xGA_scaled,new_xGA,pooled_xGA_pre_normalization,xGA
Afghanistan,Afghanistan,AFC,22.0,0.0,22.0,1.0,0.0,0.2032430716700607,0.20324307167006073,0.2032430716700607,0.20324307167006073,0.20324307167006073,1.2099666677925538,1.2099666677925538,1.2099666677925538,1.2099666677925538,1.2099666677925538
Albania,Albania,UEFA,42.0,0.0,42.0,1.0,0.0,1.3285705159745929,1.328570515974593,1.328570515974593,1.328570515974593,1.328570515974593,0.7301505174429505,0.7301505174429505,0.7301505174429505,0.7301505174429505,0.7301505174429505
Algeria,Algeria,CAF,58.0,0.0,58.0,1.0,0.0,1.6190388173837127,1.619038817383713,1.619038817383713,1.619038817383713,1.619038817383713,0.7795063418232264,0.7795063418232264,0.7795063418232264,0.7795063418232264,0.7795063418232264
Andorra,Andorra,UEFA,39.0,0.0,39.0,1.0,0.0,0.451003670172633,0.45100367017263304,0.451003670172633,0.451003670172633,0.451003670172633,0.752711850314094,0.752711850314094,0.752711850314094,0.752711850314094,0.752711850314094
Angola,Angola,CAF,44.0,0.0,44.0,1.0,0.0,1.043538060130095,1.0435380601300952,1.0435380601300952,1.0435380601300952,1.0435380601300952,0.9994586940484952,0.9994586940484952,0.9994586940484952,0.9994586940484953,0.9994586940484953
Anguilla,Anguilla,CONCACAF,21.0,0.0,21.0,1.0,0.0,0.0374641494750705,0.037464149475070506,0.0374641494750705,0.037464149475070506,0.037464149475070506,2.406149517654807,2.406149517654807,2.406149517654807,2.406149517654807,2.406149517654807
Antigua and Barbuda,Antigua and Barbuda,CONCACAF,21.0,0.0,21.0,1.0,0.0,0.2373978236150593,0.23739782361505932,0.2373978236150593,0.2373978236150593,0.2373978236150593,2.074065921875385,2.074065921875385,2.074065921875385,2.074065921875385,2.074065921875385
Argentina,Argentina,CONMEBOL,56.0,1.0,57.0,0.9824561403508771,0.017543859649122806,2.510138544246307,2.5101385442463076,0.001690208387828,2.466130678704931,2.466130678704931,0.4265700576841593,0.4265700576841593,0.995335579165587,0.43654840016628965,0.43654840016628965
Armenia,Armenia,UEFA,37.0,0.0,37.0,1.0,0.0,1.221611382810229,1.2216113828102293,1.2216113828102293,1.2216113828102293,1.2216113828102293,1.1703293464660958,1.1703293464660958,1.1703293464660958,1.1703293464660958,1.1703293464660958
Aruba,Aruba,CONCACAF,21.0,0.0,21.0,1.0,0.0,0.2058487249878008,0.20584872498780082,0.2058487249878008,0.2058487249878008,0.2058487249878008,1.760448068793354,1.760448068793354,1.760448068793354,1.7604480687933541,1.7604480687933541
Australia,Australia,AFC,48.0,0.0,48.0,1.0,0.0,1.535943177538376,1.5359431775383763,1.5359431775383765,1.5359431775383763,1.5359431775383763,0.715365011029244,0.715365011029244,0.715365011029244,0.715365011029244,0.715365011029244
Austria,Austria,UEFA,45.0,0.0,45.0,1.0,0.0,1.9146817500473143,1.9146817500473146,1.9146817500473143,1.9146817500473146,1.9146817500473146,0.8136207081146116,0.8136207081146116,0.8136207081146116,0.8136207081146115,0.8136207081146115
Azerbaijan,Azerbaijan,UEFA,37.0,0.0,37.0,1.0,0.0,1.072720338321651,1.0727203383216513,1.0727203383216513,1.0727203383216513,1.0727203383216513,1.1891832194749496,1.1891832194749496,1.1891832194749496,1.1891832194749496,1.1891832194749496
Bahamas,Bahamas,CONCACAF,19.0,0.0,19.0,1.0,0.0,0.2193645640315158,0.21936456403151583,0.2193645640315158,0.21936456403151586,0.21936456403151586,2.179176349368328,2.179176349368328,2.179176349368328,2.179176349368328,2.179176349368328
Bahrain,Bahrain,AFC,50.0,0.0,50.0,1.0,0.0,0.8688033380975819,0.868803338097582,0.868803338097582,0.868803338097582,0.868803338097582,1.0870815400248086,1.0870815400248086,1.0870815400248086,1.0870815400248086,1.0870815400248086
Bangladesh,Bangladesh,AFC,34.0,0.0,34.0,1.0,0.0,0.1274807979443712,0.12748079794437123,0.1274807979443712,0.12748079794437123,0.12748079794437123,1.127082319185032,1.127082319185032,1.127082319185032,1.127082319185032,1.127082319185032
Barbados,Barbados,CONCACAF,26.0,0.0,26.0,1.0,0.0,0.2913200370029723,0.2913200370029724,0.2913200370029724,0.2913200370029724,0.2913200370029724,2.3271332300695846,2.3271332300695846,2.3271332300695846,2.3271332300695846,2.3271332300695846
Belarus,Belarus,UEFA,37.0,0.0,37.0,1.0,0.0,1.0686842475285172,1.0686842475285174,1.0686842475285174,1.0686842475285174,1.0686842475285174,0.9148548481669514,0.9148548481669514,0.9148548481669514,0.9148548481669513,0.9148548481669513
Belgium,Belgium,UEFA,50.0,0.0,50.0,1.0,0.0,2.1601191484241724,2.160119148424173,2.160119148424173,2.160119148424173,2.160119148424173,0.6845596878739513,0.6845596878739513,0.6845596878739513,0.6845596878739513,0.6845596878739513
Belize,Belize,CONCACAF,26.0,0.0,26.0,1.0,0.0,0.2093653140828187,0.20936531408281872,0.2093653140828187,0.20936531408281872,0.20936531408281872,1.9907767596421115,1.9907767596421115,1.9907767596421115,1.9907767596421115,1.9907767596421115
Benin,Benin,CAF,36.0,0.0,36.0,1.0,0.0,1.1769067464798753,1.1769067464798755,1.1769067464798757,1.1769067464798755,1.1769067464798755,1.0096444287275117,1.0096444287275117,1.0096444287275117,1.0096444287275117,1.0096444287275117
Bermuda,Bermuda,CONCACAF,30.0,0.0,30.0,1.0,0.0,0.6703070375488719,0.670307037548872,0.670307037548872,0.670307037548872,0.670307037548872,1.8135721850065976,1.8135721850065976,1.8135721850065976,1.8135721850065976,1.8135721850065976
Bhutan,Bhutan,AFC,19.0,0.0,19.0,1.0,0.0,0.0406064087498595,0.040606408749859504,0.0406064087498595,0.040606408749859504,0.040606408749859504,2.651733031246976,2.651733031246976,2.651733031246976,2.651733031246976,2.651733031246976
Bolivia,Bolivia,CONMEBOL,43.0,0.0,43.0,1.0,0.0,1.390030383914204,1.3900303839142043,1.3900303839142043,1.3900303839142043,1.3900303839142043,0.803188510891251,0.803188510891251,0.803188510891251,0.803188510891251,0.803188510891251
Bonaire,Bonaire,CONCACAF,19.0,0.0,19.0,1.0,0.0,0.0686238607785972,0.06862386077859721,0.0686238607785972,0.06862386077859721,0.06862386077859721,1.2631593587169432,1.2631593587169432,1.2631593587169432,1.2631593587169432,1.2631593587169432
Bosnia and Herzegovina,Bosnia and Herzegovina,UEFA,39.0,0.0,39.0,1.0,0.0,1.5782347383027115,1.5782347383027118,1.5782347383027118,1.5782347383027118,1.5782347383027118,0.9520849453240492,0.9520849453240492,0.9520849453240492,0.9520849453240492,0.9520849453240492
Botswana,Botswana,CAF,32.0,0.0,32.0,1.0,0.0,0.8890120602150959,0.889012060215096,0.889012060215096,0.889012060215096,0.889012060215096,1.056991965175746,1.056991965175746,1.056991965175746,1.056991965175746,1.056991965175746
Brazil,Brazil,CONMEBOL,49.0,0.0,49.0,1.0,0.0,2.4216230226967403,2.421623022696741,2.421623022696741,2.421623022696741,2.421623022696741,0.6025587996116498,0.6025587996116498,0.6025587996116498,0.6025587996116498,0.6025587996116498
British Virgin Islands,British Virgin Islands,CONCACAF,23.0,0.0,23.0,1.0,0.0,0.1054131189148132,0.10541311891481321,0.1054131189148132,0.1054131189148132,0.1054131189148132,1.3259492148726113,1.3259492148726113,1.3259492148726113,1.3259492148726113,1.3259492148726113
Brunei,Brunei,AFC,26.0,0.0,26.0,1.0,0.0,0.0437041410061879,0.043704141006187906,0.0437041410061879,0.043704141006187906,0.043704141006187906,2.587662277136312,2.587662277136312,2.587662277136312,2.587662277136312,2.587662277136312
Bulgaria,Bulgaria,UEFA,38.0,0.0,38.0,1.0,0.0,1.230531605498002,1.2305316054980022,1.2305316054980022,1.2305316054980022,1.2305316054980022,1.0318236277715631,1.0318236277715631,1.0318236277715631,1.0318236277715631,1.0318236277715631
Burkina Faso,Burkina Faso,CAF,48.0,0.0,48.0,1.0,0.0,1.3784187513823891,1.3784187513823893,1.3784187513823891,1.3784187513823893,1.3784187513823893,0.9869929444654844,0.9869929444654844,0.9869929444654844,0.9869929444654844,0.9869929444654844
Burundi,Burundi,CAF,25.0,0.0,25.0,1.0,0.0,0.5782085429195649,0.578208542919565,0.578208542919565,0.578208542919565,0.578208542919565,1.2421451918957476,1.2421451918957476,1.2421451918957476,1.2421451918957476,1.2421451918957476
Cambodia,Cambodia,AFC,29.0,0.0,29.0,1.0,0.0,0.1438564708966584,0.14385647089665843,0.1438564708966584,0.14385647089665843,0.14385647089665843,1.198102368093676,1.198102368093676,1.198102368093676,1.198102368093676,1.198102368093676
Cameroon,Cameroon,CAF,44.0,0.0,44.0,1.0,0.0,1.4446527752648015,1.4446527752648017,1.4446527752648015,1.4446527752648017,1.4446527752648017,0.8389207597641184,0.8389207597641184,0.8389207597641184,0.8389207597641183,0.8389207597641183
Canada,Canada,CONCACAF,55.0,0.0,55.0,1.0,0.0,1.6890275307210711,1.6890275307210714,1.6890275307210714,1.6890275307210714,1.6890275307210714,0.6606679327163955,0.6606679327163955,0.6606679327163955,0.6606679327163955,0.6606679327163955
Cape Verde,Cape Verde Islands,CAF,45.0,0.0,45.0,1.0,0.0,1.1806288087044057,1.180628808704406,1.180628808704406,1.180628808704406,1.180628808704406,0.8516985313158802,0.8516985313158802,0.8516985313158802,0.8516985313158804,0.8516985313158804
Cayman Islands,Cayman Islands,CONCACAF,20.0,0.0,20.0,1.0,0.0,0.1102959423271467,0.11029594232714672,0.1102959423271467,0.11029594232714672,0.11029594232714672,2.176353516421441,2.176353516421441,2.176353516421441,2.176353516421441,2.176353516421441
Central African Republic,Central African Republic,CAF,25.0,0.0,25.0,1.0,0.0,0.909877650656286,0.9098776506562861,0.909877650656286,0.9098776506562861,0.9098776506562861,1.2235251337916897,1.2235251337916897,1.2235251337916897,1.2235251337916897,1.2235251337916897
Chad,Chad,CAF,23.0,0.0,23.0,1.0,0.0,0.6120945593697245,0.6120945593697246,0.6120945593697246,0.6120945593697246,0.6120945593697246,1.1413776745378397,1.1413776745378397,1.1413776745378397,1.1413776745378397,1.1413776745378397
